NOC,Year,Sport,Sex,lat,lon,continent,bronze,gold,silver,total
AFG,2008,Taekwondo,M,33.93911,67.709953,Asia,1,0,0,1
AFG,2012,Taekwondo,M,33.93911,67.709953,Asia,1,0,0,1
ALG,1984,Boxing,M,28.033886,1.659626,Africa,2,0,0,2
ALG,1992,Athletics,F,28.033886,1.659626,Africa,0,1,0,1
ALG,1992,Boxing,M,28.033886,1.659626,Africa,1,0,0,1
ALG,1996,Athletics,M,28.033886,1.659626,Africa,0,1,0,1
ALG,1996,Boxing,M,28.033886,1.659626,Africa,1,1,0,2
ALG,2000,Athletics,F,28.033886,1.659626,Africa,0,1,0,1
ALG,2000,Athletics,M,28.033886,1.659626,Africa,2,0,1,3
ALG,2000,Boxing,M,28.033886,1.659626,Africa,1,0,0,1
ALG,2008,Judo,F,28.033886,1.659626,Africa,1,0,0,1
ALG,2008,Judo,M,28.033886,1.659626,Africa,0,0,1,1
ALG,2012,Athletics,M,28.033886,1.659626,Africa,0,1,0,1
ALG,2016,Athletics,M,28.033886,1.659626,Africa,0,0,2,2
ANZ,1908,Athletics,M,-25.274398,133.775136,Oceania,1,0,0,1
ANZ,1908,Boxing,M,-25.274398,133.775136,Oceania,0,0,1,1
ANZ,1908,Rugby,M,-25.274398,133.775136,Oceania,0,15,0,15
ANZ,1908,Swimming,M,-25.274398,133.775136,Oceania,1,0,1,2
ANZ,1912,Swimming,F,-25.274398,133.775136,Oceania,0,1,1,2
ANZ,1912,Swimming,M,-25.274398,133.775136,Oceania,2,4,1,7
ANZ,1912,Tennis,M,-25.274398,133.775136,Oceania,1,0,0,1
ARG,1924,Athletics,M,-38.416097,-63.616672,South America,0,0,1,1
ARG,1924,Boxing,M,-38.416097,-63.616672,South America,2,0,2,4
ARG,1924,Polo,M,-38.416097,-63.616672,South America,0,5,0,5
ARG,1928,Boxing,M,-38.416097,-63.616672,South America,0,2,2,4
ARG,1928,Fencing,M,-38.416097,-63.616672,South America,5,0,0,5
ARG,1928,Football,M,-38.416097,-63.616672,South America,0,0,16,16
ARG,1928,Swimming,M,-38.416097,-63.616672,South America,0,1,0,1
ARG,1932,Athletics,M,-38.416097,-63.616672,South America,0,1,0,1
ARG,1932,Boxing,M,-38.416097,-63.616672,South America,0,2,1,3
ARG,1936,Boxing,M,-38.416097,-63.616672,South America,2,1,1,4
ARG,1936,Polo,M,-38.416097,-63.616672,South America,0,4,0,4
ARG,1936,Rowing,M,-38.416097,-63.616672,South America,2,0,0,2
ARG,1936,Swimming,F,-38.416097,-63.616672,South America,0,0,1,1
ARG,1948,Athletics,F,-38.416097,-63.616672,South America,0,0,1,1
ARG,1948,Athletics,M,-38.416097,-63.616672,South America,0,1,0,1
ARG,1948,Boxing,M,-38.416097,-63.616672,South America,1,2,0,3
ARG,1948,Sailing,M,-38.416097,-63.616672,South America,0,0,5,5
ARG,1948,Shooting,M,-38.416097,-63.616672,South America,0,0,1,1
ARG,1952,Athletics,M,-38.416097,-63.616672,South America,0,0,1,1
ARG,1952,Boxing,M,-38.416097,-63.616672,South America,1,0,1,2
ARG,1952,Rowing,M,-38.416097,-63.616672,South America,0,2,0,2
ARG,1952,Weightlifting,M,-38.416097,-63.616672,South America,1,0,0,1
ARG,1956,Boxing,M,-38.416097,-63.616672,South America,1,0,0,1
ARG,1956,Weightlifting,M,-38.416097,-63.616672,South America,0,0,1,1
ARG,1960,Boxing,M,-38.416097,-63.616672,South America,1,0,0,1
ARG,1960,Sailing,M,-38.416097,-63.616672,South America,0,0,3,3
ARG,1964,Equestrianism,M,-38.416097,-63.616672,South America,0,0,1,1
ARG,1968,Boxing,M,-38.416097,-63.616672,South America,1,0,0,1
ARG,1968,Rowing,M,-38.416097,-63.616672,South America,1,0,0,1
ARG,1972,Rowing,M,-38.416097,-63.616672,South America,0,0,1,1
ARG,1988,Tennis,F,-38.416097,-63.616672,South America,0,0,1,1
ARG,1988,Volleyball,M,-38.416097,-63.616672,South America,12,0,0,12
ARG,1992,Tennis,M,-38.416097,-63.616672,South America,2,0,0,2
ARG,1996,Boxing,M,-38.416097,-63.616672,South America,1,0,0,1
ARG,1996,Football,M,-38.416097,-63.616672,South America,0,0,18,18
ARG,1996,Sailing,M,-38.416097,-63.616672,South America,0,0,1,1
ARG,2000,Hockey,F,-38.416097,-63.616672,South America,0,0,16,16
ARG,2000,Sailing,F,-38.416097,-63.616672,South America,1,0,0,1
ARG,2000,Sailing,M,-38.416097,-63.616672,South America,2,0,1,3
ARG,2004,Basketball,M,-38.416097,-63.616672,South America,0,12,0,12
ARG,2004,Football,M,-38.416097,-63.616672,South America,0,16,0,16
ARG,2004,Hockey,F,-38.416097,-63.616672,South America,16,0,0,16
ARG,2004,Sailing,M,-38.416097,-63.616672,South America,2,0,0,2
ARG,2004,Swimming,F,-38.416097,-63.616672,South America,1,0,0,1
ARG,2004,Tennis,F,-38.416097,-63.616672,South America,2,0,0,2
ARG,2008,Basketball,M,-38.416097,-63.616672,South America,12,0,0,12
ARG,2008,Cycling,M,-38.416097,-63.616672,South America,0,2,0,2
ARG,2008,Football,M,-38.416097,-63.616672,South America,0,18,0,18
ARG,2008,Hockey,F,-38.416097,-63.616672,South America,16,0,0,16
ARG,2008,Judo,F,-38.416097,-63.616672,South America,1,0,0,1
ARG,2008,Sailing,M,-38.416097,-63.616672,South America,2,0,0,2
ARG,2012,Hockey,F,-38.416097,-63.616672,South America,0,0,15,15
ARG,2012,Sailing,M,-38.416097,-63.616672,South America,2,0,0,2
ARG,2012,Taekwondo,M,-38.416097,-63.616672,South America,0,1,0,1
ARG,2012,Tennis,M,-38.416097,-63.616672,South America,1,0,0,1
ARG,2016,Hockey,M,-38.416097,-63.616672,South America,0,18,0,18
ARG,2016,Judo,F,-38.416097,-63.616672,South America,0,1,0,1
ARG,2016,Sailing,F,-38.416097,-63.616672,South America,0,1,0,1
ARG,2016,Sailing,M,-38.416097,-63.616672,South America,0,1,0,1
ARG,2016,Tennis,M,-38.416097,-63.616672,South America,0,0,1,1
ARM,1996,Wrestling,M,40.069099,45.038189,Europe,0,1,1,2
ARM,2000,Weightlifting,M,40.069099,45.038189,Europe,1,0,0,1
ARM,2008,Boxing,M,40.069099,45.038189,Europe,1,0,0,1
ARM,2008,Weightlifting,M,40.069099,45.038189,Europe,3,0,0,3
ARM,2008,Wrestling,M,40.069099,45.038189,Europe,2,0,0,2
ARM,2012,Weightlifting,F,40.069099,45.038189,Europe,1,0,0,1
ARM,2012,Wrestling,M,40.069099,45.038189,Europe,1,0,1,2
ARM,2016,Weightlifting,M,40.069099,45.038189,Europe,0,0,2,2
ARM,2016,Wrestling,M,40.069099,45.038189,Europe,0,1,1,2
AUS,1896,Athletics,M,-25.274398,133.775136,Oceania,0,2,0,2
AUS,1896,Tennis,M,-25.274398,133.775136,Oceania,1,0,0,1
AUS,1900,Athletics,M,-25.274398,133.775136,Oceania,3,1,0,4
AUS,1900,Swimming,M,-25.274398,133.775136,Oceania,0,2,0,2
AUS,1904,Swimming,M,-25.274398,133.775136,Oceania,1,0,3,4
AUS,1906,Athletics,M,-25.274398,133.775136,Oceania,2,0,0,2
AUS,1906,Swimming,M,-25.274398,133.775136,Oceania,1,0,0,1
AUS,1920,Athletics,M,-25.274398,133.775136,Oceania,0,0,1,1
AUS,1920,Swimming,M,-25.274398,133.775136,Oceania,1,0,5,6
AUS,1924,Alpinism,M,-25.274398,133.775136,Oceania,0,1,0,1
AUS,1924,Athletics,M,-25.274398,133.775136,Oceania,0,1,0,1
AUS,1924,Diving,M,-25.274398,133.775136,Oceania,0,1,0,1
AUS,1924,Swimming,M,-25.274398,133.775136,Oceania,2,1,5,8
AUS,1928,Cycling,M,-25.274398,133.775136,Oceania,1,0,0,1
AUS,1928,Rowing,M,-25.274398,133.775136,Oceania,0,1,0,1
AUS,1928,Swimming,M,-25.274398,133.775136,Oceania,0,0,2,2
AUS,1932,Cycling,M,-25.274398,133.775136,Oceania,0,1,0,1
AUS,1932,Rowing,M,-25.274398,133.775136,Oceania,0,1,0,1
AUS,1932,Swimming,F,-25.274398,133.775136,Oceania,0,1,1,2
AUS,1932,Wrestling,M,-25.274398,133.775136,Oceania,1,0,0,1
AUS,1936,Athletics,M,-25.274398,133.775136,Oceania,1,0,0,1
AUS,1948,Athletics,F,-25.274398,133.775136,Oceania,2,0,4,6
AUS,1948,Athletics,M,-25.274398,133.775136,Oceania,0,1,2,3
AUS,1948,Rowing,M,-25.274398,133.775136,Oceania,0,1,0,1
AUS,1948,Swimming,F,-25.274398,133.775136,Oceania,1,0,1,2
AUS,1948,Swimming,M,-25.274398,133.775136,Oceania,1,0,1,2
AUS,1948,Wrestling,M,-25.274398,133.775136,Oceania,1,0,1,2
AUS,1952,Athletics,F,-25.274398,133.775136,Oceania,1,3,0,4
AUS,1952,Cycling,M,-25.274398,133.775136,Oceania,0,3,1,4
AUS,1952,Rowing,M,-25.274398,133.775136,Oceania,9,0,1,10
AUS,1952,Swimming,M,-25.274398,133.775136,Oceania,0,1,0,1
AUS,1952,Weightlifting,M,-25.274398,133.775136,Oceania,1,0,0,1
AUS,1956,Athletics,F,-25.274398,133.775136,Oceania,3,7,0,10
AUS,1956,Athletics,M,-25.274398,133.775136,Oceania,3,0,6,9
AUS,1956,Boxing,M,-25.274398,133.775136,Oceania,1,0,0,1
AUS,1956,Canoeing,M,-25.274398,133.775136,Oceania,2,0,0,2
AUS,1956,Cycling,M,-25.274398,133.775136,Oceania,1,2,0,3
AUS,1956,Rowing,M,-25.274398,133.775136,Oceania,11,0,1,12
AUS,1956,Sailing,M,-25.274398,133.775136,Oceania,3,0,2,5
AUS,1956,Swimming,F,-25.274398,133.775136,Oceania,1,8,2,11
AUS,1956,Swimming,M,-25.274398,133.775136,Oceania,1,11,2,14
AUS,1960,Athletics,F,-25.274398,133.775136,Oceania,0,0,1,1
AUS,1960,Athletics,M,-25.274398,133.775136,Oceania,1,1,1,3
